patch	survey_area
1	1H
2	1H
3	1H
4	1H
5	1H
6	1H
7	1H
8	1H
9	1H
10	1H
11	1H
12	1H
13	1H
15	1H
16	1H
17	1H
20	1H
21	1H
23	1H
24	1H
25	1H
27	1H
29	1H
30	1H
31	1H
32	1H
33	1H
35	1H
36	1H
38	1H
39	1H
40	1H
41	1H
42	1H
43	1H
44	1H
45	1H
46	1H
47	1H
48	1H
49	1H
50	1H
51	1H
52	1H
54	1H
55	1H
56	1H
57	1H
58	1H
59	1H
60	1H
61	1H
63	1H
65	1H
68	1H
70	2
71	2
72	2
73	2
74	2
75	2
76	2
77	2
79	2
80	2
81	2
83	2
84	2
85	2
86	2
87	2
88	2
89	2
90	2
91	2
93	2
94	2
96	2
97	2
98	2
99	2
102	2
103	2
104	2
105	2
107	2
108	2
109	2
110	2
111	2
112	2
113	2
114	2
115	2
116	2
117	2
118	3
119	3
120	3
121	1H
122	3
123	3
124	3
125	3
126	3
127	3
128	3
129	3
130	1H
131	3
132	3
133	3
134	3
135	3
136	3
137	3
138	3
139	3
141	3
142	3
143	3
145	3
147	3
148	3
149	3
150	3
152	3
153	3
154	3
155	3
156	3
157	3
158	3
159	4Sa
161	4Sa
163	4Sa
165	4Sa
166	4Sa
167	4Sa
168	4Sa
169	4Sa
170	4Sa
171	4Sa
172	4Sa
173	4Sa
174	4Sa
175	4Sa
176	4Sa
177	4Sa
178	4Sa
179	4Sa
180	4Sa
181	4Sa
182	4Sa
183	4Sa
184	4Sa
185	4Sa
186	4Sa
187	4Sa
189	4Sa
190	4Sa
191	4Sa
192	4Sa
193	4Sa
194	4Sa
195	4Sa
196	4Su
197	4Su
198	4Su
199	4Su
200	4Su
202	4Su
204	5S
205	4Su
206	4Su
207	4Su
208	4Su
209	4Su
210	4Su
211	4Su
212	4Su
213	4Su
214	4Su
215	4Su
216	5S
217	5S
218	5S
219	5S
222	5S
223	5S
224	5S
226	5S
228	5S
229	5S
231	5S
233	5S
235	5S
236	5S
237	5S
238	5S
239	5S
240	5S
241	5S
242	5S
243	5S
244	5S
246	5S
247	5S
248	5S
249	5S
250	5S
251	5S
252	5S
253	5S
254	5S
258	5S
260	5S
262	5S
263	5S
265	5S
266	5S
269	5S
270	5S
271	5S
272	5S
273	5S
274	4Su
275	5S
276	5S
278	5S
279	5S
282	5S
283	5S
284	5S
285	5S
287	5V
288	5V
289	5V
290	5V
291	5V
292	5V
293	6
294	6
295	6
296	6
297	6
298	6
299	4Su
300	6
303	6
304	6
305	6
308	6
309	6
310	6
311	6
312	6
313	6
314	6
316	6
317	7
318	7
319	7
320	7
321	7
323	7
324	7
325	7
326	7
327	7
328	7
329	7
330	7
331	7
332	7
333	7
334	7
336	7
337	7
338	7
339	7
340	7
341	7
342	7
343	7
344	7
345	7
346	7
347	7
348	7
349	7
350	7
351	7
352	7
353	7
355	7
356	7
357	7
358	7
360	7
361	7
362	7
363	8Lu
364	8Lu
365	8Lu
366	4Su
367	8Lu
368	8Lu
369	8Lu
370	8Lu
371	8Lu
372	8Lu
373	8Lu
374	8Lu
375	8Lu
376	8Lu
377	8Lu
378	8Lu
379	8Lu
381	8Lu
383	8Lu
384	8Lu
385	8Lu
