network	metapopulation_capacity	n_patch	patch_area_ha	convex_hull_area_ha	average_occupancy	average_metapopulation_size	n_group_pgi	n_individual_pgi	proportion_pgi_ac_cc	frequency_pgi_c
1	10.56	137	26.43	1269.06	0.12	0.36	13	18	0.42	0.29
2	9.64	141	37.71	2182.33	0.19	0.42	45	57	0.22	0.12
3	5.64	48	9.95	598.26	0.16	0.5	19	29	0.37	0.21
4	8.83	45	25	976.93	0.12	0.14	6	9	0.42	0.32
5	6.97	44	10.47	1038.52	0.12	0.4	3	3	0.33	0.17
6	9.94	104	14.36	928.37	0.14	0.61	12	20	0.63	0.47
7	1.78	54	3.34	592.37	0	0	11	18	0.18	0.09
8	5.99	62	21.03	1664.55	0.07	0.14	11	15	0.41	0.23
9	6.6	73	10	1102.89	0.29	0.59	NULL	NULL	NULL	NULL
10	14.32	112	26.47	1913.55	0.34	0.75	64	74	0.45	0.26
11	2.14	27	2.46	284.53	0.11	0.21	46	127	0.44	0.26
12	3.85	51	10.81	962.81	0	0	1	2	0	0
13	6.65	162	14.02	1412.04	0.07	0.17	35	53	0.39	0.22
14	10.33	37	19.23	1014.94	0.12	0.2	15	20	0.3	0.15
15	3.77	25	5.54	297.91	0.02	0.03	NULL	NULL	NULL	NULL
16	2.9	29	5.11	395.21	0.11	0.36	168	382	0.6	0.36
17	13.27	160	23.16	1281.85	0.06	0.25	5	5	0.6	0.3
18	3.66	38	6.86	558.72	0.22	0.49	24	37	0.44	0.28
19	0.09	7	0.83	181.33	0	0	NULL	NULL	NULL	NULL
20	1.08	14	1.11	110.2	0	0	NULL	NULL	NULL	NULL
21	1.25	45	1.73	344.76	0	0	NULL	NULL	NULL	NULL
22	8.14	105	28.09	1509.3	0.1	0.37	40	47	0.28	0.14
23	7.18	69	12.44	775.64	0.36	0.69	54	69	0.53	0.28
24	1.37	18	2.11	162.59	0	0	NULL	NULL	NULL	NULL
25	6.78	80	14.41	1230.15	0.03	0.11	NULL	NULL	NULL	NULL
