patch	network
1	116
2	116
3	70
4	70
5	70
6	70
7	70
8	70
9	70
10	70
11	70
12	70
13	70
15	70
16	70
17	70
20	66
21	66
23	66
24	66
25	66
27	66
29	66
30	66
31	66
32	66
33	66
35	66
36	66
38	91
39	66
40	66
41	66
42	66
43	66
44	110
45	110
46	110
47	91
48	66
49	66
50	66
51	66
52	66
54	66
55	66
56	66
57	66
58	66
59	66
60	66
61	66
63	66
65	66
68	66
70	5
71	5
72	5
73	5
74	5
75	5
76	5
77	116
79	116
80	5
81	5
83	5
84	108
85	25
86	25
87	25
88	25
89	25
90	25
91	39
93	39
94	25
96	25
97	25
98	25
99	25
102	25
103	25
104	25
105	25
107	25
108	25
109	25
110	25
111	25
112	25
113	25
114	25
115	25
116	25
117	25
118	31
119	31
120	31
121	70
122	31
123	31
124	31
125	31
126	11
127	85
128	85
129	11
130	91
131	39
132	22
133	107
134	107
135	107
136	22
137	22
138	22
139	22
141	8
142	8
143	8
145	22
147	22
148	22
149	22
150	22
152	22
153	22
154	22
155	22
156	22
157	22
158	22
159	92
161	8
163	8
165	65
166	65
167	65
168	92
169	65
170	8
171	8
172	65
173	65
174	65
175	65
176	65
177	65
178	65
179	65
180	65
181	65
182	65
183	65
184	65
185	65
186	65
187	65
189	65
190	65
191	65
192	65
193	65
194	65
195	82
196	3
197	3
198	2
199	2
200	2
202	2
204	2
205	2
206	2
207	2
208	2
209	2
210	2
211	2
212	3
213	3
214	3
215	3
216	2
217	2
218	2
219	2
222	2
223	2
224	54
226	54
228	74
229	74
231	74
233	77
235	77
236	77
237	74
238	74
239	74
240	74
241	74
242	74
243	77
244	74
246	74
247	74
248	74
249	74
250	74
251	74
252	74
253	74
254	74
258	74
260	74
262	74
263	74
265	74
266	74
269	74
270	74
271	74
272	74
273	74
274	77
275	74
276	74
278	74
279	74
282	74
283	74
284	51
285	51
287	7
288	7
289	87
290	7
291	7
292	71
293	32
294	105
295	69
296	98
297	98
298	76
299	2
300	76
303	41
304	41
305	114
308	114
309	114
310	41
311	41
312	28
313	105
314	28
316	68
317	106
318	106
319	106
320	106
321	106
323	106
324	106
325	106
326	106
327	106
328	106
329	106
330	106
331	106
332	106
333	106
334	80
336	80
337	80
338	80
339	80
340	80
341	83
342	80
343	80
344	80
345	80
346	122
347	122
348	122
349	122
350	122
351	72
352	72
353	72
355	72
356	72
357	72
358	72
360	72
361	72
362	76
363	55
364	55
365	55
366	2
367	55
368	55
369	55
370	55
371	55
372	55
373	55
374	55
375	55
376	55
377	17
378	64
379	17
381	17
383	17
384	17
385	17
386	17
387	70
389	17
390	17
391	17
392	17
393	17
395	55
396	55
397	55
399	17
400	17
401	17
402	17
403	17
404	17
405	17
406	17
407	17
409	17
410	17
411	17
412	17
413	17
415	17
416	17
417	17
418	17
419	17
421	17
423	83
424	17
426	14
427	83
428	10
429	5
430	5
432	17
433	17
434	17
436	17
437	17
438	17
439	17
440	17
441	17
442	17
444	17
445	17
446	17
447	17
448	1
449	1
451	1
452	1
453	35
454	35
456	29
457	29
458	29
459	2
460	49
461	49
462	83
463	83
464	58
465	14
466	14
467	14
468	14
469	14
470	14
471	14
472	72
473	72
474	72
475	72
476	76
477	58
478	19
479	83
480	58
481	58
482	58
483	58
485	17
487	25
488	17
490	17
491	1
492	1
493	1
494	1
499	23
500	9
501	18
502	18
503	75
504	12
505	121
506	113
507	114
508	98
509	2
510	2
511	2
514	66
515	66
516	53
517	66
518	74
520	78
521	78
522	78
523	78
525	78
526	78
527	78
529	66
530	78
531	78
532	78
533	78
534	78
535	78
536	78
537	45
538	93
539	93
540	93
541	78
542	45
544	45
545	45
546	45
547	45
548	45
549	45
550	45
551	10
552	47
554	10
555	47
556	47
557	47
558	47
560	10
561	47
564	74
566	97
567	97
568	97
569	100
570	10
571	100
572	10
573	10
575	10
576	10
578	10
579	10
580	10
581	59
582	59
584	10
585	10
586	10
587	10
588	10
589	47
592	2
594	10
595	10
597	10
598	10
599	10
600	10
601	10
602	10
605	10
606	10
607	10
608	10
609	10
610	10
611	25
613	74
614	25
615	25
617	25
618	25
619	25
621	25
622	25
623	25
624	25
625	25
626	25
627	25
628	4
629	4
630	4
631	4
633	4
634	4
635	39
636	39
637	39
639	4
640	61
641	61
642	34
644	25
645	34
646	34
647	34
648	34
649	34
650	34
651	34
652	4
653	34
654	34
655	34
656	34
657	4
659	4
660	4
661	4
662	4
663	6
664	6
665	6
666	6
669	74
672	6
673	6
674	6
675	6
676	6
678	6
679	6
680	6
681	6
682	6
683	6
686	6
687	6
688	39
689	3
690	39
691	39
692	39
693	39
695	39
696	39
697	39
700	53
701	53
702	53
703	3
705	77
706	77
707	77
708	77
709	77
710	77
711	77
712	77
713	77
714	77
715	77
716	77
717	16
718	77
721	77
722	77
724	74
726	77
727	77
728	77
729	77
730	77
732	77
733	77
734	124
735	124
736	124
737	52
739	52
740	103
742	52
743	52
744	2
745	2
746	35
747	35
749	35
750	35
751	35
752	35
753	35
754	35
755	35
756	35
757	35
758	65
759	35
760	35
761	35
762	35
763	35
764	35
765	35
766	35
767	35
768	35
769	35
771	35
772	35
773	65
774	35
776	29
777	29
778	29
780	29
781	29
782	29
784	29
785	29
790	29
791	57
792	57
793	29
794	29
795	29
796	29
797	29
798	29
799	29
800	29
801	29
802	29
803	29
804	29
805	29
806	29
807	66
810	53
811	53
812	53
813	53
814	53
815	53
816	53
817	53
818	53
819	50
820	50
821	29
822	29
823	29
826	29
827	29
828	50
829	57
831	76
832	76
833	76
834	58
836	58
837	58
838	58
839	58
840	58
841	58
843	58
844	8
845	8
846	8
847	8
848	65
849	8
850	8
851	14
852	83
853	83
854	83
855	83
856	83
857	83
858	58
859	58
860	58
861	58
862	58
863	58
864	83
865	58
866	58
867	58
868	58
869	58
870	58
871	58
872	58
873	58
874	58
875	109
876	109
877	109
878	82
879	109
880	58
882	109
883	49
884	14
885	14
886	14
887	82
888	109
889	75
890	82
891	75
893	75
894	75
896	75
897	75
898	75
902	75
903	75
904	75
905	75
906	101
907	75
908	75
909	12
911	46
912	46
913	121
917	30
918	30
919	30
920	30
921	113
922	113
923	113
924	30
926	113
927	24
928	24
929	24
930	12
931	75
933	75
934	75
935	75
937	16
938	75
939	1
940	1
941	1
942	1
943	1
944	1
945	82
946	1
947	1
948	1
949	1
950	82
951	1
952	1
953	1
954	1
955	1
956	1
958	1
959	1
960	1
961	56
962	56
963	1
964	1
965	1
966	56
967	56
968	56
969	56
972	56
973	56
975	9
976	9
977	9
978	9
979	17
980	9
981	9
982	9
984	9
985	9
986	9
987	116
990	110
993	5
997	25
999	25
1000	25
1001	4
1002	4
1003	34
1004	22
1005	19
1006	22
1007	6
1008	6
1009	6
1011	6
1012	39
1013	53
1014	92
1016	81
1017	65
1018	65
1019	65
1020	2
1021	2
1022	2
1023	2
1025	77
1026	77
1027	52
1028	57
1030	45
1031	57
1032	57
1033	53
1034	53
1035	53
1036	32
1037	32
1038	32
1039	76
1040	41
1041	41
1042	32
1043	28
1045	105
1047	10
1049	59
1051	10
1052	45
1053	45
1054	2
1056	78
1057	78
1058	78
1059	55
1060	55
1062	55
1063	55
1064	17
1066	55
1067	55
1068	55
1069	17
1071	66
1073	25
1074	31
1076	6
1077	6
1078	65
1079	65
1080	65
1081	65
1082	3
1083	3
1084	35
1085	55
1086	55
1087	2
1088	23
1089	2
1090	2
1091	2
1093	74
1094	74
1095	74
1096	99
1097	99
1099	34
1101	34
1102	34
1103	34
1104	34
1105	34
1107	34
1109	34
1113	34
1115	1
1116	1
1117	1
1118	16
1120	1
1121	1
1122	1
1123	1
1124	1
1125	1
1126	1
1127	1
1128	1
1129	1
1130	1
1132	1
1134	1
1135	1
1136	15
1137	15
1140	15
1141	23
1142	23
1143	23
1144	23
1145	23
1146	23
1147	23
1149	3
1150	3
1151	3
1152	23
1153	23
1155	23
1157	23
1158	3
1159	2
1160	3
1161	23
1162	23
1163	23
1164	23
1165	3
1166	18
1167	18
1168	23
1169	23
1170	23
1171	23
1172	23
1174	23
1175	23
1176	23
1177	23
1178	23
1179	3
1180	23
1183	23
1184	18
1186	3
1187	23
1188	23
1189	23
1190	3
1192	23
1193	23
1194	23
1195	23
1196	23
1197	18
1198	18
1199	18
1200	18
1201	18
1202	18
1203	18
1204	18
1206	18
1207	18
1208	119
1210	119
